Hygienerating;Geschmacksrating;Inspektor;PLZ
138; 66;4;12347
119; 57;4;13407
 97; 53;3;10827
153; 51;4;13585
 80; 39;3;12203
 40; 99;3;14089
166; 90;4;10963
 66;110;4;13589
 37;118;4;12279
139; 39;3;10435
 88; 39;4;13349
108; 28;3;10369
118; 39;4;10707
127; 49;3;13129
108; 87;4;12045
 68;128;4;12165
 77; 44;3;10439
 36; 98;3;13129
 91; 50;4;13627
 41; 70;4;10437
175; 74;4;12169
 79; 66;3;13505
 65; 98;4;14052
174; 71;2;13125
 95; 32;3;10589
170; 74;2;10787
 59;133;3;12689
158; 48;4;10115
 29;127;2;13189
 88; 67;4;12353
 65; 45;3;13409
165; 53;1;10715
 88;107;4;12053
181; 98;3;10825
159; 54;4;10963
133; 61;4;14059
117;109;4;12435
166; 24;4;12047
101; 45;3;10719
 85; 54;3;10179
 73; 45;3;13599
 32; 83;4;13597
 66; 54;3;13053
 13; 99;4;10559
 37; 98;2;13599
115; 60;3;10405
 55;108;2;13187
 49; 80;4;10999
160; 39;4;12055
 43;151;2;13086
 52;119;3;14059
 74;115;3;12059
 64;110;4;13503
105; 29;4;12621
121; 61;3;13127
163; 23;4;12247
122; 50;3;12203
 58;144;1;13158
 47;123;3;12437
 45; 95;3;10629
 50; 60;4;13585
125; 56;3;10435
 28;122;3;13159
114; 94;1;10178
133; 42;3;12279
105; 49;4;12161
136; 69;3;13125
 80; 60;3;13509
156; 27;4;10999
113; 52;3;10783
126; 65;4;13581
 78; 59;2;12679
111; 27;3;14055
 78; 68;3;10707
 81; 43;2;13059
 45; 77;4;12459
 62;134;2;10827
 86; 39;4;13189
155; 47;3;12627
173; 33;4;10999
 86; 34;3;12629
157; 47;2;14059
176; 87;2;10961
 71; 70;4;15566
138; 35;2;10369
 40; 96;3;10823
 76;112;4;10318
123; 57;3;13585
 37; 73;3;12437
 30;125;1;10777
 88; 36;4;12167
121; 37;3;10249
135; 78;4;12099
140; 75;4;12167
146; 74;4;14059
110; 49;4;10823
117; 50;4;12623
119; 60;4;12587
110; 46;3;10779
131; 67;3;12165
171; 30;3;10319
 84; 43;3;12619
 76; 51;4;12681
135; 58;3;12349
168; 29;4;10717
 49; 56;4;10555
 48;110;3;10713
 66;101;2;12357
106; 28;2;12161
 84;113;4;10777
 47; 57;4;12689
 61; 55;2;10365
134; 30;4;12249
103; 48;3;12103
158; 90;4;10553
 90; 68;4;12357
 97; 32;3;12627
 91; 55;4;12249
 56;120;4;10249
149; 35;2;10559
128; 66;3;13439
122; 33;3;12163
143; 57;3;12103
 53; 52;4;13505
 45;118;4;13088
129; 42;3;10965
 49; 79;4;10589
156; 39;4;12687
113; 49;3;12679
149; 36;2;10437
108; 97;4;13587
 90; 59;4;10969
156;117;4;13125
 78; 31;4;10557
 70; 58;3;12629
138; 67;4;12207
125; 65;4;13593
128; 63;3;13627
135; 55;4;10585
 74; 45;3;12437
102; 56;4;12355
 41; 73;4;10707
 46; 97;4;12627
165; 92;3;10623
120; 41;3;14129
163; 66;4;13187
 57; 48;4;14195
 52; 58;2;13189
172;102;2;10965
120; 27;3;10405
140; 42;3;14055
124; 62;4;10629
155; 29;4;10781
 92; 57;4;13587
153; 71;3;12099
135; 65;3;12555
 46; 73;3;10709
 76;109;4;12359
 35; 96;3;10115
 87; 99;4;13353
166;118;4;12627
 33; 81;4;14199
 32; 99;4;13051
136; 42;3;12623
181;111;1;13439
 89; 62;4;10249
 22;113;4;12109
 90; 50;4;13599
 41; 97;3;12105
110; 30;3;14129
135; 61;3;10589
 93; 42;2;13627
 89;115;4;10179
 31; 79;3;12279
153; 70;4;13189
 67;131;2;13055
111;101;4;14193
121; 49;3;10585
 79; 54;4;12687
 77;103;4;13589
106; 34;3;10557
 52;149;2;10243
 50; 76;3;13599
163; 35;2;10117
164; 85;4;12489
 82; 33;2;10405
 59; 73;4;12159
160;115;4;13405
120; 31;3;12587
165;107;4;10781
106; 33;4;10713
125; 53;3;12163
 83;100;4;10783
161; 30;2;10315
 59; 70;4;13127
121; 31;3;13355
 87;127;4;12359
 50;104;4;13591
102; 26;2;12683
 63; 42;3;14197
 16; 87;4;12247
 98; 31;3;13349
 74; 69;4;10717
 79; 67;3;10783
144;103;2;13591
153;109;4;12309
 54;115;4;10439
131; 62;3;12205
 94; 36;2;14193
 86;116;3;13469
 56;127;4;12681
 53; 55;2;12687
 81; 80;4;10249
 59;114;4;13359
157; 99;4;12349
146; 41;3;12279
 67;121;3;10965
 95; 31;2;13629
 89; 53;4;12683
119;126;2;10969
 34; 96;4;12203
 64; 45;3;12249
 21; 97;3;12629
141; 41;3;15566
143; 44;3;12526
111;112;4;14163
150; 59;4;10178
114; 95;3;10589
156; 51;3;10963
 71; 52;3;10823
165; 95;3;10999
 69; 38;1;12045
 51; 58;3;10787
109; 51;4;10407
169; 42;4;10405
 32; 80;4;10967
 59;132;2;12055
178;122;3;12055
 75;118;4;14089
127; 40;3;13355
125;120;4;12051
 95;104;4;13435
107; 52;4;10825
154; 41;3;12203
 69;114;4;13599
 62; 53;3;14059
 48;145;2;12055
 31;103;4;13505
 69; 48;2;13469
 41;135;1;10179
174; 95;1;10781
161; 40;4;12205
134; 26;1;10367
 60;103;2;10407
167;105;4;10589
 60; 70;4;10437
 60; 73;4;10789
 61;148;2;13439
 76; 69;4;13359
103; 61;4;13053
131; 37;3;12351
131; 35;3;12309
 59; 98;4;13581
154; 48;3;12587
 96; 29;3;14193
146; 45;3;12351
151; 81;4;12357
111; 56;4;13507
104; 47;3;12107
 68;125;4;10557
 39; 73;4;13583
 44;104;4;13587
112; 56;3;13086
158; 54;4;12109
146;104;4;12629
 79; 39;2;12349
 59;148;3;10409
127; 31;3;10961
168; 85;4;10827
 95;101;4;13467
125; 35;2;12687
137; 73;4;12051
 63; 46;3;14055
118; 60;4;13509
 56; 60;3;10965
 66;126;4;13505
 41; 74;4;12629
161;118;4;10243
112; 41;2;13583
140; 76;4;10719
 73;135;1;10317
 30; 79;4;10249
118; 52;4;10405
157; 88;3;10551
 62; 42;4;10711
175; 73;2;10555
 64;103;4;12109
162; 27;2;10787
 99; 31;3;10365
137; 60;3;12557
 44; 69;3;12247
157; 83;4;12107
143; 65;3;12524
128; 27;4;13088
114; 31;2;10963
 59;103;4;13435
181; 88;3;12163
113;110;4;13405
 77; 67;3;12207
148; 80;4;12679
 79; 36;3;12557
 74; 65;4;13156
161;109;4;14169
129; 67;2;12687
172; 41;4;13349
 38; 74;3;10965
159; 53;4;10627
144; 62;4;10119
 77; 35;3;10587
 49; 75;4;13156
178; 90;3;14053
 95; 57;4;12353
 63; 48;3;13439
166; 96;4;13089
163;102;4;10555
 62; 71;3;10709
128; 54;4;12107
105;105;4;12047
 55; 63;2;12209
110; 48;4;10589
 79; 59;2;13086
 26;104;4;12165
144; 60;3;12207
160; 41;4;12305
 87; 97;4;10785
 99; 59;4;10437
 84;103;3;13189
 56; 90;4;12277
 96; 31;2;12489
 72; 63;4;10555
 95; 97;4;12163
 15; 98;4;10825
 78; 42;3;12043
129; 46;3;10789
109; 55;4;12053
 79; 40;3;12109
 75;106;4;12167
 55;132;3;14055
106; 50;4;13405
 48; 55;1;12047
152; 71;3;10719
 76; 57;2;10243
 76; 34;4;12359
 71; 39;3;12683
 32;124;3;10178
 79; 45;3;12205
 88; 30;3;12157
 58; 54;3;14059
108; 31;4;12439
 67; 56;2;13581
164; 25;2;13125
 43; 67;3;12623
 83; 79;4;10719
 78; 64;3;12163
 85; 58;3;12161
 84; 57;3;10365
145;100;3;10555
172; 39;3;13053
127; 35;2;10437
127; 60;4;13353
 39;119;4;13627
125; 66;4;12249
 29; 83;4;13357
 75; 50;3;13359
115; 54;3;12559
 41; 75;4;13581
163; 26;3;14052
 62; 44;4;12159
100; 36;4;12524
 60; 75;3;10119
 91; 51;4;12589
 72;125;4;12207
149; 32;2;10823
 93; 99;4;13465
 65; 43;3;13591
 69; 70;4;10178
 82;114;4;13467
 56; 72;4;10829
 23;125;1;13595
168; 28;4;13595
 45;100;4;10407
165; 37;3;14129
 34; 97;4;13597
 32; 88;4;13503
 65;125;4;12101
144; 57;4;13509
 63; 68;3;14167
 54;134;2;13347
149; 29;4;12169
150; 70;4;13593
155; 84;4;13409
 54; 59;2;13357
 66;132;3;13509
132; 38;3;10551
165; 22;1;10827
111; 38;3;10369
143; 52;3;10319
 66;131;3;14059
 74; 58;3;13349
166;116;4;15537
 79; 31;4;12589
 75; 33;4;12679
105; 42;4;14109
 85;137;2;13351
105; 33;4;15537
 75;110;4;13437
151; 38;3;12249
 55;117;4;10587
 58; 63;3;12107
 54;124;4;10585
111; 52;3;10318
 74; 78;4;10367
 80; 45;3;12679
 89; 90;4;13353
 81; 68;4;12437
117; 32;3;10117
127; 38;3;10969
 53;114;4;10315
 68; 47;3;12557
149; 63;4;12167
 98; 45;4;10785
 54;123;4;14197
 20;113;1;10179
 52; 65;3;12439
 78; 49;4;10249
 76; 67;4;14052
126; 26;2;12163
155; 57;4;12629
138; 63;4;12526
 44; 61;3;13351
163; 96;4;12435
165; 28;3;13589
 86; 51;3;10779
115; 59;3;10719
 28;101;4;14165
 39;104;4;12685
 68;142;1;12099
170; 38;3;14165
 87; 38;4;12161
142; 58;2;12059
117; 35;3;10178
 72; 53;3;10317
143; 68;4;10823
103;118;4;12205
123; 27;3;12627
175; 93;1;12459
136; 80;4;14089
 71; 51;3;13469
 87; 49;4;10589
180; 80;1;13347
 61;130;2;10409
 85; 44;3;13156
 47; 58;4;13055
132; 74;4;14129
 27; 83;4;12101
 51; 62;3;12209
115;112;4;10557
178;123;2;12055
 43; 97;4;12051
167; 29;4;13351
131; 34;3;10825
 74; 61;3;12621
120; 35;3;10559
184; 89;2;12459
116; 41;4;13591
 82; 57;4;12687
 86; 43;4;12107
 67; 61;3;13505
 90; 91;3;10559
 70; 35;2;12557
113; 55;4;12621
122; 58;3;12047
120; 56;4;12524
 93; 31;2;10623
 79;118;4;13465
136; 67;3;10969
 19; 92;3;10997
 76;113;4;14050
117; 62;4;12487
 76;110;4;13503
 91; 56;3;10115
151; 48;4;10437
157; 37;4;10719
135; 66;3;10369
138; 43;3;12353
 94; 53;3;14197
156; 79;3;13347
137; 62;3;10783
 31;125;2;10587
134; 50;4;13355
 62; 46;3;13469
 57;113;4;13465
 42; 64;2;10707
 87;104;4;12277
116; 52;3;13591
 81; 66;3;12357
103; 43;2;13581
 51; 52;1;10709
 83;107;4;10825
 57;112;4;13351
115; 26;3;12169
118;127;1;13585
 66; 45;3;12055
 90; 95;3;10369
 60; 74;3;12049
112; 24;4;10585
 38;118;4;13349
110; 22;1;13591
 87; 73;4;12163
 87;121;4;12459
117; 68;3;10179
 81; 79;4;12587
 74;131;3;13051
140; 63;4;13187
185;102;2;10115
 97; 57;4;14053
171; 88;3;12619
 69;129;4;12685
134; 47;3;12203
102; 46;2;12629
 79;111;4;12099
 14; 93;4;10117
108; 51;4;12685
112; 52;3;14109
112; 35;3;13405
 64;112;3;10999
 88;114;4;14057
169; 99;3;13057
117; 42;4;10585
132; 34;2;13088
163;116;4;12277
130; 98;3;12059
160; 33;2;14050
132; 99;3;10823
 40;139;4;10623
159;109;4;12683
 64;134;1;10789
 38; 75;4;14193
167; 96;3;13158
125; 33;3;10178
149; 50;3;10178
 31;104;4;12205
 85; 57;2;13349
132; 26;4;10963
160;109;4;10625
 61;103;3;12101
 88; 32;3;12629
168; 81;4;13088
 47; 91;4;12349
117; 57;3;13407
180;115;1;12051
102; 61;3;13347
140; 66;3;13156
 76;133;3;14089
 62;113;4;13187
 55;118;4;10115
 32;102;4;12347
155; 46;2;12107
177;110;2;10623
 50;156;4;14053
 95; 63;4;12309
123; 34;2;10555
130; 63;3;12167
141; 31;3;12049
 62; 60;3;14193
 86; 55;3;12165
112; 34;4;13595
177; 76;3;13187
127; 55;4;10318
 66; 63;4;10555
107;103;4;10557
144; 44;3;12353
165; 85;4;13435
 48; 70;2;12587
119; 25;3;12527
 53;124;4;13129
111; 54;4;13469
150;113;4;10407
154; 76;4;12249
144; 38;3;12687
135; 34;3;10823
154; 27;3;14053
 41; 94;3;10781
 29;103;4;12167
 70; 43;2;13187
 15;105;3;10963
 87; 53;4;10623
 71; 56;3;12555
160;113;4;13159
125; 38;3;12489
 60; 76;3;14169
 18; 92;4;14167
154; 46;2;12277
 46;149;2;13159
 69;113;4;12205
 57;140;1;10409
170; 86;4;10409
118; 48;3;13503
132; 65;4;14053
165; 96;4;13189
 89; 40;4;12043
 77; 57;2;15537
108; 98;4;14199
121; 75;4;14193
 76;105;4;10969
182; 90;3;10369
107; 48;4;13583
 58;127;4;12527
 92;114;2;10409
124; 45;2;12279
145; 35;2;12587
 87;101;4;13125
148; 49;2;12167
 79; 63;3;13589
 77; 34;3;10777
 68; 41;3;10117
147; 76;4;12589
 72; 56;3;14197
 59; 75;3;12057
158;121;4;13359
148; 39;4;13127
 90; 26;4;10711
159; 45;4;10369
160; 94;4;10407
 86; 29;4;12683
 25;121;4;13158
155; 53;4;10823
159; 24;3;12053
124; 32;3;12309
 69; 69;3;10435
123; 46;2;10178
115; 70;4;13089
118; 93;2;12277
 85; 55;2;13125
 70; 66;3;12627
 69; 59;3;12161
 75;134;4;14052
 58; 48;4;12353
 86;104;4;10409
 54; 73;4;12169
158; 88;4;12349
139; 55;4;13591
142; 59;2;10965
 80; 58;3;12205
 86; 57;2;15537
121; 93;1;12459
 72; 67;4;12459
 72; 57;4;12439
150; 30;3;12526
 42;121;4;13158
184; 85;1;13503
132; 31;2;12526
 73; 50;3;10625
 83; 48;2;14169
 79;110;4;14199
137; 30;4;14199
111;121;4;12555
 45;148;2;10557
113; 27;3;13587
157; 95;4;12249
 95; 46;2;13627
 13; 98;3;10785
165;119;4;13353
126; 35;2;10789
124; 70;4;12355
138; 68;4;14167
 41; 95;3;10405
 96; 55;3;13405
101; 57;4;13439
107; 46;4;12277
 35;100;4;10553
129; 33;3;13057
 97; 26;4;10585
145; 39;2;12107
162; 88;4;10245
 86;107;4;13597
131; 61;3;14163
 69; 54;3;10823
 80;135;1;10178
113; 23;2;13507
154; 71;4;13599
 50;143;1;13156
165; 97;4;10785
 70; 69;3;13505
119; 38;4;10243
154; 70;4;10625
 22; 91;4;14109
 53;127;4;12247
164; 94;3;13583
161;107;4;13189
 87;107;4;13189
 50; 65;3;12109
 56;124;4;14055
163; 98;4;10709
 19; 98;4;10178
118; 50;4;13405
 87; 29;4;12353
 95; 30;3;10625
 32;125;2;12589
 90; 69;4;13127
 96;100;4;12105
152; 47;3;12557
 36;100;3;14055
 93; 39;3;13187
 64; 64;4;10559
134; 52;4;12159
164; 24;3;12043
104; 54;3;10997
151; 67;4;12685
 89; 60;4;12159
 58; 60;4;13629
 95; 36;2;13465
125; 41;2;12619
 53; 53;3;12351
 38; 71;1;13407
137; 32;3;12049
 98; 42;4;14129
140; 55;4;12587
110; 36;3;10249
 27;116;4;12157
 67;109;4;10243
 95; 98;4;14165
 57;126;4;10823
114; 51;2;13595
102; 38;4;12685
177; 95;1;12205
162;114;4;13593
 75; 53;3;13349
 54;113;4;10557
 73; 70;4;12489
 85; 32;3;12347
170; 42;3;12589
173; 70;2;13585
 17; 88;4;12159
 34; 76;4;13158
 40;121;4;13127
 81; 49;3;12305
136; 63;3;10369
110;101;4;14055
 92; 32;3;10961
 90; 64;4;10247
118; 63;4;10589
102; 40;3;12043
 96; 51;3;10409
114;100;2;12277
 42; 97;4;12279
 85;105;4;12157
108; 29;3;13507
149; 43;4;12247
151;103;4;10711
111; 48;3;14089
 96; 45;2;10319
135; 70;3;12107
151; 84;4;10551
 47; 94;4;12526
 86;121;4;13581
122;124;1;12055
151; 30;2;12053
 49;115;3;12099
 69;128;4;12043
 79;103;4;13465
123; 60;3;13353
 69; 53;3;12487
182;114;3;10781
120; 95;3;10997
 79; 46;3;12437
 94; 34;2;13405
146; 68;4;13435
 54; 61;2;12557
119; 32;3;12051
 99; 26;3;12057
 76; 45;3;10965
112; 57;4;12247
 24;123;4;10825
122;113;4;13059
164;109;4;14165
 60; 55;3;13439
 53;146;3;13589
140; 48;3;10709
 84; 52;3;12527
 50; 67;3;10367
187;102;3;10825
163;110;4;13439
 83; 69;4;10557
121; 42;3;14057
129; 70;3;12555
126; 36;2;12524
163; 83;4;12355
127; 62;4;12161
121; 51;3;13507
147; 88;4;12557
130; 29;2;13593
147; 63;2;12435
 78; 70;4;14050
158; 51;4;10553
 40; 94;3;12351
 77;110;4;12249
108; 39;2;10785
 42;117;4;12203
135; 42;3;10825
 87; 34;3;13581
160;114;3;13357
155; 55;4;10999
118; 44;3;12524
 83; 68;4;13439
150; 64;4;13355
158; 24;3;12439
129; 41;3;14169
153; 39;3;12487
150; 26;1;13469
 54; 57;3;10589
100; 31;3;12587
174;106;1;12489
152; 50;4;10245
 56;125;4;13627
 38; 72;3;10967
135; 51;4;12435
 71;130;4;12559
 77; 38;3;12051
 69; 52;3;12555
162;100;4;13359
 99; 45;4;10783
131; 68;3;10777
 55; 65;4;13357
 41;147;1;10407
 74; 50;3;10249
130; 69;3;13086
134; 57;4;12524
133; 56;3;12357
 83;111;4;10825
 63; 49;2;14197
 56;122;4;12683
111; 49;3;13156
106; 41;3;12359
156; 36;4;13509
124; 43;2;10369
 66;133;3;13591
 27;117;4;13409
116; 46;4;12053
 99; 42;4;12107
118; 47;4;12055
161; 31;2;14052
 56; 48;2;12353
 93; 36;2;12045
157; 49;3;10787
129; 47;3;10589
 58;111;4;15537
137; 55;3;12165
153; 81;4;12357
 30;112;4;13351
165; 40;3;10317
119; 62;3;12679
120;126;1;14165
132; 66;4;12439
 74; 55;3;14129
140; 60;3;12277
 95; 24;1;12587
168; 98;4;13589
121; 39;4;10589
 82;104;3;13359
 80;109;4;10407
111; 40;3;12279
 78; 38;3;12053
 50;149;1;12049
 18; 96;3;12057
133; 35;3;13051
168;112;3;10783
115;114;4;10247
133; 49;3;12351
135; 29;4;12099
111; 33;3;12629
159; 44;4;12305
 80; 62;3;13353
126; 67;4;13467
 12; 98;4;10245
 62; 59;3;14052
 71; 57;4;13086
 58;138;1;12207
 14;104;4;13053
120; 38;3;12279
 73;138;2;13435
140; 43;3;13353
119; 72;4;10823
 50;127;4;10999
 93; 92;3;12355
132; 46;3;12685
174;120;3;14050
107; 23;1;10709
 92;110;1;13465
121; 36;3;13581
 67; 53;2;12687
 17; 95;3;10317
 47; 96;4;12247
116; 29;2;13059
 35;121;2;13053
 86;118;3;13595
 46;130;2;10439
139; 69;4;13156
187; 91;2;12161
 43;135;2;12247
153; 54;3;12309
 66; 50;2;14055
 77; 52;4;13467
117;121;4;12107
124; 53;3;10559
 61; 65;2;14163
135; 76;4;13583
 52;151;2;13439
 69; 39;2;10435
164; 37;3;12109
179;111;4;10627
 62;109;4;12459
 97; 49;3;10711
114;101;2;14052
144; 88;4;13125
123; 38;3;12045
 36;135;1;14052
173; 96;2;12349
 78; 50;3;13435
150; 56;3;13439
 69;126;4;13585
 37;135;1;14109
182; 83;2;12159
153; 75;4;13057
 91; 89;4;10555
114; 54;3;13088
 92; 56;4;10243
 59;134;2;12169
 86; 56;3;12057
 38;114;4;10713
105; 35;3;10961
 51; 74;3;10719
 92; 34;3;10245
117; 40;3;14109
 51;155;4;13355
163; 36;3;12349
159; 36;3;10625
 27;113;4;10553
 77; 37;3;13053
 66;117;2;12047
 29;105;4;12627
115; 65;3;14050
137; 56;2;12627
118; 90;4;12559
159; 49;4;10781
187;103;4;13059
107; 45;4;12247
124; 75;4;13359
 65;143;4;10409
115; 58;2;10405
 63;144;3;12209
130; 32;2;13349
128; 31;2;13349
167; 55;1;13585
174; 90;2;10585
 60;125;3;10969
 48;105;4;12437
157; 46;2;12051
152; 31;3;13591
152; 26;4;12437
154; 81;4;13051
135; 37;3;14195
 61; 51;2;13187
 66; 51;2;10625
 46; 95;3;12359
 70; 55;3;13125
 99; 44;4;12105
105; 50;4;14195
122; 54;3;13597
 46; 71;2;13129
105; 40;2;14109
 31; 82;4;10711
 46;119;3;10719
113; 91;3;12623
 40;116;4;13405
164; 47;1;10711
 82;101;4;13359
170;108;2;13591
135; 53;3;10997
 59; 76;3;10623
154; 67;4;10409
158; 53;4;12687
 45; 60;4;13589
 57; 53;3;12055
152; 48;4;13159
 47; 70;3;12555
163; 92;4;13409
 72; 61;4;10717
 35;118;4;10589
 72; 66;4;10825
124; 40;2;14165
152; 75;4;13159
116; 90;3;13349
131; 73;4;12351
112;115;4;13589
 61;136;3;12101
128; 56;3;10999
 45; 68;3;12435
172; 40;3;12353
 83; 55;3;12347
166; 89;4;10711
 91; 36;3;13585
 61;109;2;13593
 95;112;1;13357
155; 33;4;12109
 82; 50;3;13355
137; 78;4;13589
 71;112;4;13581
 94; 91;4;10627
 70; 46;3;10825
 73; 42;3;12249
 78;119;4;14052
116; 48;4;12163
 59;101;3;10827
 28;113;4;10823
119; 73;3;10783
158; 79;4;12307
 46; 99;4;13469
173; 41;3;10319
173; 93;2;12353
 99; 52;4;13187
 76; 63;3;12249
 36; 95;4;10783
 96; 27;3;10367
123; 50;4;10589
 79; 47;3;12489
155; 41;3;10787
 58; 70;4;12055
 73; 44;3;12099
 33;129;1;13129
 73; 39;3;14167
 64; 56;3;10115
 54; 64;3;10559
 98; 43;4;12157
119; 41;3;10625
 94; 56;4;12679
101; 54;4;10318
 76; 46;3;10825
 75; 40;3;12163
 60; 48;4;12679
130; 44;4;12351
129; 37;3;10115
145; 57;4;12055
118; 40;3;10178
 70;140;4;14052
171; 29;2;10439
176;104;2;10999
147; 91;4;10367
115; 38;4;13597
 51;131;1;10829
171; 31;3;12157
 53;136;2;10713
115; 93;1;12205
114;115;4;10825
 92; 58;4;13089
 95; 95;4;12621
 73; 43;3;12045
 31; 89;3;10827
 18; 91;4;13127
 24;109;4;13355
 85; 34;3;13059
143; 58;3;13403
164; 88;4;12105
 73;137;4;13357
152; 33;3;13053
124; 26;2;12051
 72;138;3;13357
130; 27;3;13587
 62; 70;4;12685
 43;136;2;10557
 87;126;4;15537
118; 35;4;13597
136; 49;4;13357
151; 41;2;10587
 97; 39;3;13088
125; 37;3;14193
156;110;4;13587
 92; 42;2;10625
 31; 81;3;12163
122; 44;3;12309
 89; 61;4;10435
152; 93;3;12439
 78; 39;3;12679
101; 27;4;13465
107; 33;3;14163
136; 64;3;10625
 97; 47;3;10587
170; 35;4;14052
150; 89;4;10707
 80; 67;4;10178
 42; 78;4;10829
 95; 48;2;10115
128; 97;4;10587
 42;147;2;10825
 95; 65;4;14057
 15; 88;3;12487
 87; 63;4;12103
160; 36;3;14165
120; 52;4;12307
 66;136;1;13357
 41; 69;4;10365
111;103;4;10999
 73; 32;2;10115
 71; 36;4;10719
 81; 45;3;12437
101; 47;4;12459
 76; 40;3;13581
 96; 90;4;12049
 27;103;4;13089
104;121;1;13159
 78; 40;3;10967
130; 80;4;12681
140; 45;3;14193
118; 25;3;12679
104; 46;3;13409
100; 49;3;12043
 58;141;3;14199
 30; 89;3;12059
113; 51;2;13359
153; 63;4;10243
 99; 39;4;13156
 86;125;4;15569
168;120;4;13357
100; 43;3;10437
 59;131;2;10551
 41; 99;4;13465
163; 29;2;13597
163;101;4;13439
142; 31;2;10117
 65; 62;3;10585
 96; 36;3;13403
163; 27;2;12359
 54;144;1;12353
135; 72;4;10369
 60;111;3;13629
 73; 66;4;12279
137; 38;2;10247
 71; 45;3;14197
 71; 64;4;13595
162; 95;4;13503
171;117;4;13357
 69;111;4;12353
 60;138;2;12049
136; 51;4;13059
164;115;4;12527
149; 78;4;13088
127; 47;3;15569
 81; 30;4;10625
123; 40;2;13187
 93; 45;3;10717
 62;130;2;12681
138; 64;3;13405
 83; 66;4;14165
 50; 71;3;12347
125; 62;4;12679
163; 87;4;13156
126; 57;4;13158
165; 27;3;12437
158; 86;4;10589
126; 39;2;13051
183; 99;2;14109
 49; 59;3;10829
 67; 57;3;14055
 54;122;4;10178
111; 93;4;10969
101; 41;4;14199
 75; 35;4;10247
 50;144;3;10439
133; 34;3;10407
 21;112;1;12359
115; 99;3;10317
 83; 56;4;12685
109;104;4;12619
 47; 62;3;13156
 61;110;3;10178
 44;103;4;13509
150; 28;4;12099
 82; 35;2;13599
150; 44;4;12689
129; 35;3;12207
 21; 82;4;12589
 73; 64;4;13158
121;117;4;10553
 80; 52;4;12459
 58;101;4;12107
153; 95;4;12167
 83;104;3;10707
161; 36;2;12309
 73;126;4;12683
173; 42;1;12159
 80; 63;3;13127
116;104;3;12109
113; 25;4;10409
114;126;4;13088
 92; 99;4;10318
151; 90;3;12247
 40;133;4;10117
 97; 60;4;14129
159; 32;2;10407
100; 50;4;10623
133; 71;4;13359
130; 67;3;13189
140; 51;3;13587
123; 39;3;13595
 44;131;2;13581
140; 44;4;10711
124; 67;3;13467
 71; 41;2;13467
 31;114;4;10715
 45; 93;3;10785
 82; 81;4;10178
 46;101;4;10178
136; 45;3;12685
153; 65;3;13089
 89; 57;4;12103
 80;103;3;14167
149; 31;2;10559
 61; 76;4;10779
 87;103;4;10249
 76; 35;3;12435
 60;109;2;10967
 42;125;1;13349
113; 54;3;13437
 89; 95;4;14129
 89; 45;4;10829
 61; 61;3;14195
 92; 33;3;13593
124; 74;4;10829
156; 67;4;10715
120;106;4;12524
145; 48;4;12043
100; 48;3;10243
 63;115;3;13599
114; 58;3;10781
102; 44;3;12687
139; 74;4;10179
 59;108;3;13581
 96; 41;4;12309
123; 25;1;12279
125; 60;4;14109
 77;109;4;12555
102; 47;3;10318
 54; 72;3;13583
176; 79;1;10965
 37; 77;4;13059
 89; 63;4;10719
166; 28;4;12685
 33;125;4;12489
 46; 98;4;12619
110; 34;4;13351
 63;129;4;13595
 41;124;2;12347
112; 32;2;12526
154; 72;4;12157
131; 47;3;13405
104; 36;3;14053
 22; 82;4;14055
164; 28;3;10553
 57;145;4;10365
 52; 76;3;12107
 30;121;3;13509
 73;110;4;13057
 59;127;4;13589
 96; 49;3;10119
115; 29;2;12055
143; 98;3;12043
 68; 44;3;13125
118; 34;3;10823
 51; 72;4;12279
 88; 60;3;13057
171; 95;4;12209
143; 37;4;13595
104; 43;3;10369
 34;123;2;13158
113; 39;3;10785
169; 26;3;13465
 60; 56;3;10555
 17; 82;4;10707
116; 56;2;12459
159; 37;4;10318
 97; 44;4;10713
177; 90;2;13055
 59;135;2;12163
175; 88;1;12435
 90; 54;4;10409
135; 33;3;14059
 52; 70;3;12165
155; 77;4;10318
136; 77;4;10787
102; 39;3;10997
 54;145;3;10711
 95;103;4;12159
163; 33;3;12685
 21; 93;3;14169
 86; 35;4;12157
118; 32;3;12247
139; 64;4;10439
116; 57;2;12555
 84; 70;4;12619
 79;104;3;12347
 43; 76;4;13585
 51;135;1;12059
145; 59;4;12105
180;110;1;12107
 65; 84;4;12629
122; 55;2;12305
 90; 65;4;10629
132; 29;2;13359
156; 80;4;12055
151; 51;3;12555
168; 41;3;10585
 43;113;3;13051
126;114;2;13156
 76;108;4;13407
125; 74;4;12349
173;104;2;10787
 57; 72;4;15566
158; 87;4;10319
 47;121;4;12277
138; 33;2;10365
 75; 38;3;14165
156; 48;3;12459
107; 26;4;12163
 60; 52;2;13089
123; 45;2;14195
132; 76;3;10315
102; 32;3;12101
 44;124;4;12161
 42; 93;3;13507
 90;120;4;12681
165; 33;4;13627
 24;106;4;12157
 78;112;4;10965
 44; 73;2;12055
118; 26;2;12683
 96; 57;4;10551
103; 40;3;13589
102; 33;4;10783
153;111;4;12059
111; 32;3;12099
158; 96;4;13409
 83; 53;3;12353
 48;124;4;10115
 50; 68;3;13353
 62;119;4;12435
 82; 29;1;10623
 60; 45;4;13053
160; 48;1;12439
 54;146;2;13581
153; 42;2;13127
 77; 56;3;13051
